lat,lon,ele,time,deltaDistMeters,deltaTimeSeconds,deltaElevationMeters,cumTime,velocityKmPerHour,min,max,cumElevation,cumDistance,elevationGradients,gradientRange
41.006594,28.639337,174.0,2021-10-22 20:51:33,2.195293077602802,1.0,0.0,16270.0,7.903055079370087,,,-23.800000000000495,38776.50865930632,0.0,"(-1, 1]"
41.006614,28.639343,174.1,2021-10-22 20:51:34,2.282730970540037,1.0,0.09999999999999432,16271.0,8.217831493944134,,,-23.7000000000005,38778.791390276856,4.4,"(3, 5]"
41.006655,28.639355,174.2,2021-10-22 20:51:36,4.674098431132335,2.0,0.09999999999999432,16273.0,8.413377176038203,,,-23.600000000000506,38783.46548870799,2.1,"(1, 3]"
41.006692,28.63937,174.3,2021-10-22 20:51:37,4.30726027581476,1.0,0.10000000000002274,16274.0,15.506136992933136,,,-23.500000000000483,38787.7727489838,2.3,"(1, 3]"
41.006704,28.639373,174.3,2021-10-22 20:51:38,1.359398494093347,1.0,0.0,16275.0,4.893834578736049,,,-23.500000000000483,38789.132147477896,0.0,"(-1, 1]"
41.006751,28.639384,174.4,2021-10-22 20:51:40,5.3129912556497345,2.0,0.09999999999999432,16277.0,9.563384260169522,,,-23.40000000000049,38794.44513873354,1.9,"(1, 3]"
41.006772,28.639388,174.5,2021-10-22 20:51:41,2.3617355816315904,1.0,0.09999999999999432,16278.0,8.502248093873726,,,-23.300000000000495,38796.806874315174,4.2,"(3, 5]"
41.006814,28.639398,174.6,2021-10-22 20:51:43,4.750287046540546,2.0,0.09999999999999432,16280.0,8.550516683772983,,,-23.2000000000005,38801.557161361714,2.1,"(1, 3]"
41.006854,28.639418,174.7,2021-10-22 20:51:45,4.759201003482889,2.0,0.09999999999999432,16282.0,8.566561806269199,,,-23.100000000000506,38806.3163623652,2.1,"(1, 3]"
41.006873,28.639436,174.7,2021-10-22 20:51:46,2.5999896361290133,1.0,0.0,16283.0,9.359962690064448,,,-23.100000000000506,38808.91635200133,0.0,"(-1, 1]"
41.006903,28.639455,174.8,2021-10-22 20:51:48,3.7013986261643375,2.0,0.10000000000002274,16285.0,6.662517527095807,,,-23.000000000000483,38812.6177506275,2.7,"(1, 3]"
41.006925,28.639477,174.8,2021-10-22 20:51:49,3.068103409154238,1.0,0.0,16286.0,11.045172272955256,,,-23.000000000000483,38815.68585403665,0.0,"(-1, 1]"
41.006955,28.639502,174.9,2021-10-22 20:51:50,3.945041861140521,1.0,0.09999999999999432,16287.0,14.202150700105875,,,-22.90000000000049,38819.63089589779,2.5,"(1, 3]"
41.006982,28.639521,174.9,2021-10-22 20:51:52,3.4031321750780643,2.0,0.0,16289.0,6.125637915140516,,,-22.90000000000049,38823.03402807287,0.0,"(-1, 1]"
41.00701,28.639544,175.0,2021-10-22 20:51:53,3.667208243139077,1.0,0.09999999999999432,16290.0,13.201949675300677,,,-22.800000000000495,38826.70123631601,2.7,"(1, 3]"
41.007031,28.639563,175.1,2021-10-22 20:51:54,2.8306183454148623,1.0,0.09999999999999432,16291.0,10.190226043493505,,,-22.7000000000005,38829.53185466142,3.5,"(3, 5]"
41.00706,28.639581,175.1,2021-10-22 20:51:56,3.564843252494826,2.0,0.0,16293.0,6.416717854490687,,,-22.7000000000005,38833.09669791392,0.0,"(-1, 1]"
41.007084,28.639598,175.1,2021-10-22 20:51:57,3.029394202493909,1.0,0.0,16294.0,10.905819128978074,,,-22.7000000000005,38836.126092116414,0.0,"(-1, 1]"
41.007113,28.639617,175.2,2021-10-22 20:51:58,3.60127835611491,1.0,0.09999999999999432,16295.0,12.964602082013677,,,-22.600000000000506,38839.72737047253,2.8,"(1, 3]"
41.007121,28.639623,175.2,2021-10-22 20:51:59,1.023296131467404,1.0,0.0,16296.0,3.6838660732826547,,,-22.600000000000506,38840.750666604,0.0,"(-1, 1]"
41.007146,28.639637,175.2,2021-10-22 20:52:01,3.0212831657532244,2.0,0.0,16298.0,5.438309698355804,,,-22.600000000000506,38843.771949769754,0.0,"(-1, 1]"
41.007171,28.639649,175.3,2021-10-22 20:52:02,2.9599319798347747,1.0,0.10000000000002274,16299.0,10.65575512740519,,,-22.500000000000483,38846.73188174959,3.4,"(3, 5]"
